Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,HR-EMP-00009,3/2/2020 10:24,,IN,,,,
,,HR-EMP-00014,3/2/2020 10:29,,IN,,,,
,,HR-EMP-00012,3/2/2020 10:38,,IN,,,,
,,HR-EMP-00007,3/2/2020 10:39,,IN,,,,
,,HR-EMP-00004,3/2/2020 10:42,,IN,,,,
,,HR-EMP-00001,3/2/2020 10:44,,IN,,,,
,,HR-EMP-00009,3/2/2020 18:33,,OUT,,,,
,,HR-EMP-00014,3/2/2020 18:51,,OUT,,,,
,,HR-EMP-00007,3/2/2020 19:07,,OUT,,,,
,,HR-EMP-00001,3/2/2020 19:17,,OUT,,,,
,,HR-EMP-00012,3/2/2020 19:17,,OUT,,,,
,,HR-EMP-00004,3/2/2020 19:21,,OUT,,,,
,,HR-EMP-00009,3/3/2020 9:47,,IN,,,,
,,HR-EMP-00012,3/3/2020 10:30,,IN,,,,
,,HR-EMP-00007,3/3/2020 10:33,,IN,,,,
,,HR-EMP-00001,3/3/2020 11:07,,IN,,,,
,,HR-EMP-00014,3/3/2020 11:17,,IN,,,,
,,HR-EMP-00004,3/3/2020 13:32,,IN,,,,
,,HR-EMP-00009,3/3/2020 18:32,,OUT,,,,
,,HR-EMP-00001,3/3/2020 18:58,,OUT,,,,
,,HR-EMP-00007,3/3/2020 19:06,,OUT,,,,
,,HR-EMP-00014,3/3/2020 19:26,,OUT,,,,
,,HR-EMP-00012,3/3/2020 19:27,,OUT,,,,
,,HR-EMP-00004,3/3/2020 19:59,,OUT,,,,
,,HR-EMP-00009,3/4/2020 9:49,,IN,,,,
,,HR-EMP-00007,3/4/2020 10:35,,IN,,,,
,,HR-EMP-00012,3/4/2020 10:36,,IN,,,,
,,HR-EMP-00001,3/4/2020 10:41,,IN,,,,
,,HR-EMP-00014,3/4/2020 10:49,,IN,,,,
,,HR-EMP-00004,3/4/2020 11:17,,IN,,,,
,,HR-EMP-00009,3/4/2020 19:00,,OUT,,,,
,,HR-EMP-00001,3/4/2020 19:06,,OUT,,,,
,,HR-EMP-00012,3/4/2020 19:15,,OUT,,,,
,,HR-EMP-00014,3/4/2020 19:16,,OUT,,,,
,,HR-EMP-00007,3/4/2020 19:17,,OUT,,,,
,,HR-EMP-00004,3/4/2020 19:33,,OUT,,,,
,,HR-EMP-00009,3/5/2020 9:56,,IN,,,,
,,HR-EMP-00014,3/5/2020 10:16,,IN,,,,
,,HR-EMP-00007,3/5/2020 10:21,,IN,,,,
,,HR-EMP-00012,3/5/2020 10:24,,IN,,,,
,,HR-EMP-00001,3/5/2020 10:55,,IN,,,,
,,HR-EMP-00004,3/5/2020 11:25,,IN,,,,
,,HR-EMP-00009,3/5/2020 18:33,,OUT,,,,
,,HR-EMP-00007,3/5/2020 18:48,,OUT,,,,
,,HR-EMP-00014,3/5/2020 18:59,,OUT,,,,
,,HR-EMP-00001,3/5/2020 19:13,,OUT,,,,
,,HR-EMP-00012,3/5/2020 19:13,,OUT,,,,
,,HR-EMP-00004,3/5/2020 19:35,,OUT,,,,
,,HR-EMP-00009,3/6/2020 9:56,,IN,,,,
,,HR-EMP-00014,3/6/2020 10:33,,IN,,,,
,,HR-EMP-00012,3/6/2020 10:39,,IN,,,,
,,HR-EMP-00001,3/6/2020 10:44,,IN,,,,
,,HR-EMP-00007,3/6/2020 11:19,,IN,,,,
,,HR-EMP-00004,3/6/2020 11:43,,IN,,,,
,,HR-EMP-00009,3/6/2020 18:38,,OUT,,,,
,,HR-EMP-00007,3/6/2020 19:08,,OUT,,,,
